timestamp,weekday,hour,direction,line
2026-05-24T13:30:00+02:00,So,13,Praterstern,REX1
2026-05-24T14:29:00+02:00,So,14,Meidling,REX1
2026-05-24T14:32:00+02:00,So,14,Meidling,S4
2026-05-24T14:50:00+02:00,So,14,Meidling,S3
2026-05-24T15:20:00+02:00,So,15,Praterstern,S1
2026-05-24T15:27:00+02:00,So,15,Praterstern,S3
2026-05-24T23:39:00+02:00,So,23,Meidling,REX3
2026-05-25T00:32:00+02:00,Mo,00,Meidling,S3
2026-05-25T06:45:00+02:00,Mo,06,Praterstern,S3
2026-05-25T17:30:00+02:00,Mo,17,Praterstern,REX1
2026-05-25T18:29:00+02:00,Mo,18,Meidling,REX1
2026-05-25T19:12:00+02:00,Mo,19,Meidling,S2
2026-05-25T19:42:00+02:00,Mo,19,Meidling,S2
2026-05-25T19:50:00+02:00,Mo,19,Meidling,S3
2026-05-25T20:15:00+02:00,Mo,20,Praterstern,S2
2026-05-25T20:45:00+02:00,Mo,20,Praterstern,S2
2026-05-25T22:59:00+02:00,Mo,22,Meidling,REX1
2026-05-26T08:30:00+02:00,Di,08,Praterstern,S1
2026-05-26T13:03:00+02:00,Di,13,Praterstern,CJX9
2026-05-26T15:20:00+02:00,Di,15,Praterstern,REX3
2026-05-26T17:30:00+02:00,Di,17,Praterstern,REX1
2026-05-26T21:20:00+02:00,Di,21,Meidling,S1
2026-05-26T21:39:00+02:00,Di,21,Praterstern,S1
2026-05-27T06:29:00+02:00,Mi,06,Meidling,REX1
2026-05-27T08:33:00+02:00,Mi,08,Praterstern,REX1
2026-05-27T09:03:00+02:00,Mi,09,Praterstern,CJX9
2026-05-27T09:09:00+02:00,Mi,09,Praterstern,S3
2026-05-27T09:53:00+02:00,Mi,09,Meidling,CJX9
2026-05-27T10:20:00+02:00,Mi,10,Praterstern,S1
2026-05-27T11:47:00+02:00,Mi,11,Meidling,S1
2026-05-27T12:42:00+02:00,Mi,12,Praterstern,S1
2026-05-27T14:17:00+02:00,Mi,14,Meidling,S1
2026-05-27T14:57:00+02:00,Mi,14,Praterstern,S28044
2026-05-27T15:12:00+02:00,Mi,15,Praterstern,S1
2026-05-27T16:17:00+02:00,Mi,16,Meidling,S1
2026-05-27T16:42:00+02:00,Mi,16,Meidling,S2
2026-05-27T17:09:00+02:00,Mi,17,Meidling,REX3
2026-05-27T17:12:00+02:00,Mi,17,Meidling,S2
2026-05-27T17:17:00+02:00,Mi,17,Meidling,S1
2026-05-27T17:20:00+02:00,Mi,17,Meidling,S3
2026-05-27T17:09:00+02:00,Mi,17,Praterstern,R3
2026-05-27T17:12:00+02:00,Mi,17,Praterstern,S1
2026-05-27T17:50:00+02:00,Mi,17,Meidling,S3
2026-05-27T17:42:00+02:00,Mi,17,Praterstern,S1
2026-05-27T17:45:00+02:00,Mi,17,Praterstern,S2
2026-05-27T18:09:00+02:00,Mi,18,Praterstern,R3
2026-05-27T18:12:00+02:00,Mi,18,Praterstern,S1
2026-05-27T18:15:00+02:00,Mi,18,Praterstern,S2
2026-05-27T18:30:00+02:00,Mi,18,Praterstern,REX1
2026-05-27T18:39:00+02:00,Mi,18,Meidling,REX3
2026-05-27T18:42:00+02:00,Mi,18,Praterstern,S1
2026-05-27T18:50:00+02:00,Mi,18,Praterstern,REX3
2026-05-27T19:12:00+02:00,Mi,19,Meidling,S2
2026-05-27T19:50:00+02:00,Mi,19,Meidling,S3
2026-05-27T19:42:00+02:00,Mi,19,Praterstern,S1
2026-05-27T20:09:00+02:00,Mi,20,Praterstern,S1
2026-05-27T20:15:00+02:00,Mi,20,Praterstern,S2
2026-05-27T21:09:00+02:00,Mi,21,Meidling,S1
2026-05-27T21:20:00+02:00,Mi,21,Praterstern,S3
2026-05-27T22:50:00+02:00,Mi,22,Praterstern,REX3
2026-05-28T06:12:00+02:00,Do,06,Meidling,S2
2026-05-28T06:09:00+02:00,Do,06,Praterstern,S3
2026-05-28T06:27:00+02:00,Do,06,Praterstern,S3
2026-05-28T07:15:00+02:00,Do,07,Praterstern,S2
2026-05-28T07:50:00+02:00,Do,07,Meidling,S3
2026-05-28T08:00:00+02:00,Do,08,Praterstern,S1
2026-05-28T08:30:00+02:00,Do,08,Praterstern,S1
2026-05-28T08:39:00+02:00,Do,08,Meidling,REX3
2026-05-28T08:42:00+02:00,Do,08,Praterstern,S1
2026-05-28T15:09:00+02:00,Do,15,Meidling,REX3
2026-05-28T16:09:00+02:00,Do,16,Meidling,REX3
2026-05-28T17:17:00+02:00,Do,17,Meidling,S1
2026-05-28T17:20:00+02:00,Do,17,Meidling,S3
2026-05-28T17:39:00+02:00,Do,17,Praterstern,S3
2026-05-28T18:09:00+02:00,Do,18,Meidling,REX3
2026-05-28T18:12:00+02:00,Do,18,Praterstern,S1
2026-05-28T20:47:00+02:00,Do,20,Meidling,S1
2026-05-28T21:20:00+02:00,Do,21,Meidling,S1
2026-05-28T21:39:00+02:00,Do,21,Praterstern,S1
2026-05-28T21:42:00+02:00,Do,21,Praterstern,S1
2026-05-28T22:17:00+02:00,Do,22,Meidling,S1
2026-05-28T22:20:00+02:00,Do,22,Praterstern,S1
2026-05-28T22:47:00+02:00,Do,22,Meidling,S1
2026-05-28T23:42:00+02:00,Do,23,Praterstern,S1
2026-05-29T00:27:00+02:00,Fr,00,Praterstern,S2
2026-05-29T05:15:00+02:00,Fr,05,Praterstern,S1
2026-05-29T06:33:00+02:00,Fr,06,Praterstern,REX3
2026-05-29T07:12:00+02:00,Fr,07,Meidling,S2
2026-05-29T08:17:00+02:00,Fr,08,Meidling,S1
2026-05-29T08:15:00+02:00,Fr,08,Praterstern,S2
2026-05-29T08:20:00+02:00,Fr,08,Praterstern,REX1
2026-05-29T08:32:00+02:00,Fr,08,Meidling,S3
2026-05-29T09:17:00+02:00,Fr,09,Meidling,S1
2026-05-29T09:20:00+02:00,Fr,09,Praterstern,REX3
2026-05-29T10:12:00+02:00,Fr,10,Praterstern,S1
2026-05-29T11:47:00+02:00,Fr,11,Meidling,S1
2026-05-29T13:27:00+02:00,Fr,13,Praterstern,S3
2026-05-29T14:39:00+02:00,Fr,14,Meidling,REX3
2026-05-29T15:17:00+02:00,Fr,15,Meidling,S1
2026-05-29T15:20:00+02:00,Fr,15,Praterstern,REX3
2026-05-29T16:09:00+02:00,Fr,16,Meidling,REX3
2026-05-29T16:12:00+02:00,Fr,16,Praterstern,S1
2026-05-29T16:30:00+02:00,Fr,16,Praterstern,REX1
2026-05-29T17:09:00+02:00,Fr,17,Meidling,REX3
2026-05-29T18:29:00+02:00,Fr,18,Meidling,REX1
2026-05-29T18:42:00+02:00,Fr,18,Praterstern,S1
2026-05-29T19:09:00+02:00,Fr,19,Meidling,REX3
2026-05-29T19:29:00+02:00,Fr,19,Meidling,REX1
2026-05-29T20:20:00+02:00,Fr,20,Praterstern,REX3
2026-05-29T21:09:00+02:00,Fr,21,Meidling,S1
2026-05-29T22:20:00+02:00,Fr,22,Praterstern,S1
2026-05-29T22:42:00+02:00,Fr,22,Praterstern,S1
2026-05-30T00:47:00+02:00,Sa,00,Meidling,S1
2026-05-30T02:09:00+02:00,Sa,02,Praterstern,S2
2026-05-30T07:09:00+02:00,Sa,07,Meidling,S1
2026-05-30T07:27:00+02:00,Sa,07,Praterstern,S3
2026-05-30T10:47:00+02:00,Sa,10,Meidling,S1
2026-05-30T11:42:00+02:00,Sa,11,Praterstern,S1
2026-05-30T13:20:00+02:00,Sa,13,Praterstern,S1
2026-05-30T14:17:00+02:00,Sa,14,Meidling,S1
2026-05-30T14:42:00+02:00,Sa,14,Praterstern,S1
2026-05-30T15:12:00+02:00,Sa,15,Praterstern,S1
2026-05-30T19:00:00+02:00,Sa,19,Praterstern,REX1
2026-05-30T19:30:00+02:00,Sa,19,Praterstern,REX1
2026-05-30T19:50:00+02:00,Sa,19,Praterstern,REX3
2026-05-30T20:29:00+02:00,Sa,20,Meidling,REX1
2026-05-31T00:12:00+02:00,So,00,Meidling,S3
2026-05-31T00:17:00+02:00,So,00,Meidling,S1
2026-05-31T01:39:00+02:00,So,01,Praterstern,S1
2026-05-31T07:57:00+02:00,So,07,Praterstern,S4
2026-05-31T12:12:00+02:00,So,12,Meidling,S2
2026-05-31T16:17:00+02:00,So,16,Meidling,S1
2026-05-31T16:32:00+02:00,So,16,Meidling,S4
2026-05-31T17:12:00+02:00,So,17,Praterstern,S1
2026-05-31T17:27:00+02:00,So,17,Praterstern,S3
2026-05-31T20:39:00+02:00,So,20,Meidling,REX3
2026-05-31T21:20:00+02:00,So,21,Praterstern,S3
2026-06-01T04:39:00+02:00,Mo,04,Meidling,REX3
2026-06-01T06:20:00+02:00,Mo,06,Meidling,S3
2026-06-01T06:50:00+02:00,Mo,06,Praterstern,REX3
2026-06-01T06:57:00+02:00,Mo,06,Praterstern,S3
2026-06-01T08:09:00+02:00,Mo,08,Meidling,REX3
2026-06-01T08:42:00+02:00,Mo,08,Praterstern,S1
2026-06-01T09:09:00+02:00,Mo,09,Praterstern,S3
2026-06-01T09:50:00+02:00,Mo,09,Praterstern,REX3
2026-06-01T13:39:00+02:00,Mo,13,Meidling,REX3
2026-06-01T15:39:00+02:00,Mo,15,Praterstern,S3
2026-06-01T17:09:00+02:00,Mo,17,Meidling,REX3
2026-06-01T18:09:00+02:00,Mo,18,Praterstern,R3
2026-06-01T18:12:00+02:00,Mo,18,Praterstern,S1
2026-06-01T18:50:00+02:00,Mo,18,Praterstern,REX3
2026-06-01T19:29:00+02:00,Mo,19,Meidling,REX1
2026-06-01T20:47:00+02:00,Mo,20,Meidling,S1
2026-06-01T21:39:00+02:00,Mo,21,Praterstern,S1
2026-06-01T23:39:00+02:00,Mo,23,Meidling,REX3
2026-06-02T10:42:00+02:00,Di,10,Meidling,S2
2026-06-02T11:45:00+02:00,Di,11,Praterstern,S2
2026-06-02T13:17:00+02:00,Di,13,Meidling,S1
2026-06-02T15:29:00+02:00,Di,15,Meidling,REX1
2026-06-02T15:42:00+02:00,Di,15,Meidling,S2
2026-06-02T16:09:00+02:00,Di,16,Meidling,REX3
2026-06-02T16:45:00+02:00,Di,16,Praterstern,S2
2026-06-02T19:09:00+02:00,Di,19,Meidling,REX3
2026-06-02T20:12:00+02:00,Di,20,Meidling,S2
2026-06-02T20:20:00+02:00,Di,20,Meidling,S3
2026-06-02T20:23:00+02:00,Di,20,Meidling,S1
2026-06-02T20:03:00+02:00,Di,20,Praterstern,CJX9
2026-06-02T20:09:00+02:00,Di,20,Praterstern,S1
2026-06-02T20:12:00+02:00,Di,20,Praterstern,S1
2026-06-02T20:50:00+02:00,Di,20,Meidling,S3
2026-06-02T20:39:00+02:00,Di,20,Praterstern,S1
2026-06-02T20:45:00+02:00,Di,20,Praterstern,S2
2026-06-02T21:09:00+02:00,Di,21,Meidling,S1
2026-06-02T21:09:00+02:00,Di,21,Praterstern,S1
2026-06-02T21:15:00+02:00,Di,21,Praterstern,S2
2026-06-02T22:09:00+02:00,Di,22,Praterstern,S1
2026-06-02T22:20:00+02:00,Di,22,Praterstern,S1
2026-06-02T22:30:00+02:00,Di,22,Praterstern,REX1
2026-06-02T22:32:00+02:00,Di,22,Meidling,S4
2026-06-02T22:39:00+02:00,Di,22,Meidling,REX3
2026-06-02T22:47:00+02:00,Di,22,Meidling,S1
2026-06-02T22:39:00+02:00,Di,22,Praterstern,S1
2026-06-02T23:29:00+02:00,Di,23,Meidling,REX1
2026-06-02T23:27:00+02:00,Di,23,Praterstern,S3
2026-06-02T23:57:00+02:00,Di,23,Praterstern,S3
2026-06-03T00:29:00+02:00,Mi,00,Meidling,REX1
2026-06-03T01:09:00+02:00,Mi,01,Praterstern,S1
2026-06-03T05:50:00+02:00,Mi,05,Meidling,S3
